Code,Name,Polling_Districts
1952,GABORONE UNIVERSITY COLLEGE OF LAW (GUC),MMOPANE CENTRAL
1953,TENT AT OPEN SPACE AT LOT 2209,MMOPANE CENTRAL
1954,TENT AT OPEN SPACE AT AFM CHURCH  ,MMOPANE CENTRAL
1955,ST. PLACID CATHOLIC CHURCH,MMOPANE CENTRAL
2779,TENT AT MOGOTLHA WA GA MONAGENG,MMOPANE CENTRAL
2780,TENT AT OPEN SPACE BY OUTER FARM,MMOPANE CENTRAL
2781,TENT AT NAZARETH CHURCH,MMOPANE CENTRAL
1956,MMOPANE COMMUNITY HALL,MMOPANE EAST
1957,TAU-MANTHE PRIMARY SCHOOL  ,MMOPANE EAST
1958,TENT AT MMOPANE KGOTLA,MMOPANE EAST
2782,TENT BY MORULA TREE NEXT TO ZCC,MMOPANE EAST
1959,TENT AT THAMAGA MAIN KGOTLA ,THAMAGA CENTRAL
1960,MAGALATLADI PRIMARY SCHOOL,THAMAGA CENTRAL
1961,TENT AT MOREPO KGOTLA,THAMAGA CENTRAL
1962,TENT AT GAMATSILA ENGEN OPEN SPACE ,THAMAGA CENTRAL
1963,TENT AT ASSEMBLIES OF GOD CHURCH,THAMAGA CENTRAL
1964,TENT AT HOLY SPIRIT CHURCH,THAMAGA CENTRAL
1965,NKOANE PRIMARY SCHOOL,THAMAGA EAST
1966,TENT AT KGOPA KGOTLA,THAMAGA EAST
1967,TENT AT PHUTING CLINIC,THAMAGA EAST
1968,RAMAPHATLE PRIMARY SCHOOL,THAMAGA EAST
1969,TENT AT OPEN SPACE IN RAMAPHATLE NEAR FOOTBALL  PITCH,THAMAGA EAST
1970,THAMAGA JUNIOR SECONDARY SCHOOL ,THAMAGA EAST
1971,TENT AT VETERINARY OFFICE,THAMAGA EAST
1972,TENT AT DIKHUTSANENG MOBILE CLINIC,THAMAGA EAST
1973,SEKGELE JUNIOR SECONDARY SCHOOL,THAMAGA WEST
1974,TENT AT DILEGE TOWER LIGHT ,THAMAGA WEST
1975,TENT RAMASENYANE MOBILE CLINIC,THAMAGA WEST
1976,THAMAGA WESTERN PRIMARY SCHOOL,THAMAGA WEST
1977,MONARE PRIMARY SCHOOL,THAMAGA NORTH
1978,TENT AT KGABONNGWE KGOTLA,THAMAGA NORTH
1979,KOONTLE PRIMARY SCHOOL,THAMAGA NORTH
1980,TENT AT OPEN SPACE NEAR MOSELEWAPULA SHOP,THAMAGA NORTH
1981,GOBUAMANG PRIMARY SCHOOL ,THAMAGA SOUTH
1982,RUNGWANA PRIMARY SCHOOL ,THAMAGA SOUTH
1983,TENT AT LETLOLE OPEN SPACE,THAMAGA SOUTH
1984,TENT AT GAKGATLA KGOTLA,GAKGATLA
1985,TENT AT MMASEBELE KGOTLA,GAKGATLA
1986,TENT AT MMAMBAPA MOBILE CLINIC,GAKGATLA
1988,TENT AT KAMENAKWE VDC,GAKGATLA
1989,TENT AT TSOROGWANE OPEN SPACE NEAR FOOTBALL GROUND,GAKGATLA
1990,TENT AT SELOKWANENG MOBILE STOP,GAKGATLA
1991,TENT AT DIPHEPHE MOBILE STOP,GAKGATLA
1992,TENT AT SEOKANGWANE MOBILE STOP,GAKGATLA
1993,KUBUNG PRIMARY SCHOOL,KUBUNG
1994,TENT AT BASARWA MOBILE STOP,KUBUNG
1995,TENT AT RAMMIDI MOBILE STOP,KUBUNG
1996,TENT AT SEPENE MOBILE STOP,KUBUNG
1997,TENT AT DAM 18 MOBILE STOP    ,KUBUNG
1998,TENT AT PANENG VDC,KUMAKWANE
1999,KUMAKWANE JUNIOR SECONDARY SCHOOL,KUMAKWANE
2000,TENT AT TSHWARAGANO HORTICULTURE,KUMAKWANE
2001,KUMAKWANE PRIMARY SCHOOL  ,KUMAKWANE
2002,TENT AT AS DADA CLINIC,KUMAKWANE
2003,LEKGWAPHENG PRIMARY SCHOOL,LEKGWAPHENG
2004,TENT AT GANTSHONYANE,LEKGWAPHENG
